id,name,status,date,category,amount,currency,salary,balance_left
9,Алтынай,Карта,2025-09-30,Кофе и рестораны,12110,KZT,1816149,1494081
11,Арман,Карта,2025-08-31,Такси,1072,KZT,2449275,1140829
15,Балжан,Карта,2025-08-10,Продукты питания,2190,KZT,693596,578208
50,Әсел,Карта,2025-10-08,Продукты питания,1804,KZT,2439680,271729
4,Айназ,Карта,2025-07-30,Продукты питания,907,KZT,947937,767480
33,Мурат,Карта,2025-08-17,Отдых дома,1686,KZT,1419977,581454
42,Серік,Карта,2025-07-20,Путешествия,67675,KZT,1118128,848420
48,Қуат,Карта,2025-09-14,Продукты питания,7948,KZT,442697,2156
8,Алия,Карта,2025-07-29,Продукты питания,3954,KZT,703488,750886
35,Нұржан,Карта,2025-09-06,Кофе и рестораны,26683,KZT,2076357,623460
29,Зере,Карта,2025-08-14,Отдых дома,823,KZT,1063354,1206709
44,Талғат,Карта,2025-08-04,Продукты питания,9554,KZT,1827179,1061071
12,Аружан,Карта,2025-09-18,АЗС,5320,KZT,2121500,575730
33,Мурат,Карта,2025-08-16,Развлечения,13089,KZT,1419977,581454
9,Алтынай,Карта,2025-07-20,Кофе и рестораны,5385,KZT,1816149,1494081
16,Бауыржан,Карта,2025-08-09,Развлечения,10167,KZT,1598485,1288866
37,Раушан,Карта,2025-10-15,Путешествия,80630,KZT,1261443,212419
29,Зере,Карта,2025-07-25,Продукты питания,7863,KZT,1063354,1206709
2,Айдос,Карта,2025-09-16,Развлечения,6490,KZT,862587,935275
5,Айнұр,Карта,2025-09-09,Путешествия,22934,KZT,2297210,6014
22,Дияс,Карта,2025-10-17,Отдых дома,4072,KZT,2393606,97129
8,Алия,Карта,2025-09-27,Такси,1091,KZT,703488,750886
10,Арайлым,Карта,2025-07-31,Кофе и рестораны,8800,KZT,903264,834909
29,Зере,Карта,2025-07-29,Такси,2146,KZT,1063354,1206709
50,Әсел,Карта,2025-09-03,Путешествия,121488,KZT,2439680,271729
46,Томирис,Карта,2025-09-22,Продукты питания,6233,KZT,555224,575506
3,Айжан,Карта,2025-10-06,Продукты питания,4659,KZT,1106392,851824
22,Дияс,Карта,2025-07-31,Развлечения,28402,KZT,2393606,97129
21,Динара,Карта,2025-09-03,АЗС,3712,KZT,1590432,512113
33,Мурат,Карта,2025-10-15,Продукты питания,6959,KZT,1419977,581454
36,Нұрсұлтан,Карта,2025-07-26,Путешествия,115958,KZT,2456129,1078509
39,Салтанат,Карта,2025-09-15,Продукты питания,11384,KZT,1500725,1461805
3,Айжан,Карта,2025-09-24,АЗС,6196,KZT,1106392,851824
24,Ерлан,Карта,2025-07-31,Кофе и рестораны,13193,KZT,2364205,2130238
41,Санжар,Карта,2025-07-24,Кофе и рестораны,2827,KZT,2093193,1709280
17,Бағдат,Карта,2025-08-28,Продукты питания,10550,KZT,2283414,1101524
46,Томирис,Карта,2025-08-31,Продукты питания,5170,KZT,555224,575506
29,Зере,Карта,2025-09-17,Развлечения,1640,KZT,1063354,1206709
11,Арман,Карта,2025-09-30,Развлечения,22688,KZT,2449275,1140829
30,Инабат,Карта,2025-10-07,АЗС,13200,KZT,2288846,1844876
47,Қайрат,Карта,2025-09-20,Кино,1127,KZT,813028,447386
16,Бауыржан,Карта,2025-10-18,Путешествия,22095,KZT,1598485,1288866
25,Жазира,Карта,2025-09-29,Продукты питания,26662,KZT,2152892,1220948
37,Раушан,Карта,2025-09-10,Кофе и рестораны,13834,KZT,1261443,212419
13,Ақбота,Карта,2025-08-11,Кофе и рестораны,1968,KZT,1461785,1723019
10,Арайлым,Карта,2025-09-30,Продукты питания,6437,KZT,903264,834909
36,Нұрсұлтан,Карта,2025-07-26,Отели,36996,KZT,2456129,1078509
48,Қуат,Карта,2025-08-25,Кофе и рестораны,7031,KZT,442697,2156
